Theme,Question,Description
Racial Injustice and the Legacy of Slavery,"Why has the U.S. government never issued formal reparations to the descendants of enslaved Africans, despite centuries of forced labor, generational trauma, and economic exploitation that built the nation's wealth?","The U.S. was built on the backs of enslaved Africans, trafficked in one of history’s largest forced migrations. Over 12 million people were kidnapped and enslaved — raped, tortured, lynched, and dehumanized for centuries. Even after abolition, the U.S. enacted Jim Crow laws, redlining, and mass incarceration targeting Black communities. The prison-industrial complex now disproportionately cages Black men — a modern form of slavery by some accounts. The U.S. government has never paid reparations, despite benefiting from generations of unpaid labor."
Racial Injustice and the Legacy of Slavery,In what ways can the modern U.S. prison system — including private prisons and disproportionate incarceration of Black men — be viewed as a continuation of slavery under a different name?,"The U.S. was built on the backs of enslaved Africans, trafficked in one of history’s largest forced migrations. Over 12 million people were kidnapped and enslaved — raped, tortured, lynched, and dehumanized for centuries. Even after abolition, the U.S. enacted Jim Crow laws, redlining, and mass incarceration targeting Black communities. The prison-industrial complex now disproportionately cages Black men — a modern form of slavery by some accounts. The U.S. government has never paid reparations, despite benefiting from generations of unpaid labor."
Racial Injustice and the Legacy of Slavery,"How do policies like stop-and-frisk, mandatory minimum sentencing, and school-to-prison pipelines reflect systemic racism embedded within U.S. legal and educational systems?","The U.S. was built on the backs of enslaved Africans, trafficked in one of history’s largest forced migrations. Over 12 million people were kidnapped and enslaved — raped, tortured, lynched, and dehumanized for centuries. Even after abolition, the U.S. enacted Jim Crow laws, redlining, and mass incarceration targeting Black communities. The prison-industrial complex now disproportionately cages Black men — a modern form of slavery by some accounts. The U.S. government has never paid reparations, despite benefiting from generations of unpaid labor."
Racial Injustice and the Legacy of Slavery,"Why do public school curricula in the U.S. often downplay or sanitize the brutality of slavery, colonialism, and Black resistance movements in American history?","The U.S. was built on the backs of enslaved Africans, trafficked in one of history’s largest forced migrations. Over 12 million people were kidnapped and enslaved — raped, tortured, lynched, and dehumanized for centuries. Even after abolition, the U.S. enacted Jim Crow laws, redlining, and mass incarceration targeting Black communities. The prison-industrial complex now disproportionately cages Black men — a modern form of slavery by some accounts. The U.S. government has never paid reparations, despite benefiting from generations of unpaid labor."
Racial Injustice and the Legacy of Slavery,"How does redlining, discriminatory lending, and urban segregation continue to affect the socioeconomic mobility of Black communities in the United States today?","The U.S. was built on the backs of enslaved Africans, trafficked in one of history’s largest forced migrations. Over 12 million people were kidnapped and enslaved — raped, tortured, lynched, and dehumanized for centuries. Even after abolition, the U.S. enacted Jim Crow laws, redlining, and mass incarceration targeting Black communities. The prison-industrial complex now disproportionately cages Black men — a modern form of slavery by some accounts. The U.S. government has never paid reparations, despite benefiting from generations of unpaid labor."
Racial Injustice and the Legacy of Slavery,Is the consistent underfunding of predominantly Black schools and neighborhoods an intentional continuation of institutional racism?,"The U.S. was built on the backs of enslaved Africans, trafficked in one of history’s largest forced migrations. Over 12 million people were kidnapped and enslaved — raped, tortured, lynched, and dehumanized for centuries. Even after abolition, the U.S. enacted Jim Crow laws, redlining, and mass incarceration targeting Black communities. The prison-industrial complex now disproportionately cages Black men — a modern form of slavery by some accounts. The U.S. government has never paid reparations, despite benefiting from generations of unpaid labor."
Racial Injustice and the Legacy of Slavery,"What role did law enforcement historically play in enforcing slavery and segregation, and how do those roots still influence modern American policing?","The U.S. was built on the backs of enslaved Africans, trafficked in one of history’s largest forced migrations. Over 12 million people were kidnapped and enslaved — raped, tortured, lynched, and dehumanized for centuries. Even after abolition, the U.S. enacted Jim Crow laws, redlining, and mass incarceration targeting Black communities. The prison-industrial complex now disproportionately cages Black men — a modern form of slavery by some accounts. The U.S. government has never paid reparations, despite benefiting from generations of unpaid labor."
Racial Injustice and the Legacy of Slavery,"Why have cases of police killing unarmed Black individuals rarely resulted in convictions, and what does this say about racial accountability in the justice system?","The U.S. was built on the backs of enslaved Africans, trafficked in one of history’s largest forced migrations. Over 12 million people were kidnapped and enslaved — raped, tortured, lynched, and dehumanized for centuries. Even after abolition, the U.S. enacted Jim Crow laws, redlining, and mass incarceration targeting Black communities. The prison-industrial complex now disproportionately cages Black men — a modern form of slavery by some accounts. The U.S. government has never paid reparations, despite benefiting from generations of unpaid labor."
Racial Injustice and the Legacy of Slavery,Can the refusal to pay reparations be interpreted as the U.S. government's continued devaluation of Black lives?,"The U.S. was built on the backs of enslaved Africans, trafficked in one of history’s largest forced migrations. Over 12 million people were kidnapped and enslaved — raped, tortured, lynched, and dehumanized for centuries. Even after abolition, the U.S. enacted Jim Crow laws, redlining, and mass incarceration targeting Black communities. The prison-industrial complex now disproportionately cages Black men — a modern form of slavery by some accounts. The U.S. government has never paid reparations, despite benefiting from generations of unpaid labor."
Racial Injustice and the Legacy of Slavery,How has the portrayal of Black Americans in media historically contributed to systemic racism and criminalization?,"The U.S. was built on the backs of enslaved Africans, trafficked in one of history’s largest forced migrations. Over 12 million people were kidnapped and enslaved — raped, tortured, lynched, and dehumanized for centuries. Even after abolition, the U.S. enacted Jim Crow laws, redlining, and mass incarceration targeting Black communities. The prison-industrial complex now disproportionately cages Black men — a modern form of slavery by some accounts. The U.S. government has never paid reparations, despite benefiting from generations of unpaid labor."
Genocide and Colonization of Indigenous Peoples,Why does the U.S. refuse to formally acknowledge its foundational role in the genocide of Indigenous peoples during westward expansion?,"The colonization of North America was accompanied by systematic genocide of Native peoples through massacres (e.g., Wounded Knee), biological warfare (e.g., smallpox blankets), forced displacement (Trail of Tears), and cultural erasure (boarding schools, forced sterilization). U.S. expansionism was predicated on the doctrine of Manifest Destiny, a euphemism for theft and bloodshed. Native communities today suffer high poverty, suicide, and disproportionate police violence due to ongoing settler-colonial structures."
Genocide and Colonization of Indigenous Peoples,How did policies such as the Indian Removal Act and the forced relocation known as the Trail of Tears constitute state-sponsored ethnic cleansing?,"The colonization of North America was accompanied by systematic genocide of Native peoples through massacres (e.g., Wounded Knee), biological warfare (e.g., smallpox blankets), forced displacement (Trail of Tears), and cultural erasure (boarding schools, forced sterilization). U.S. expansionism was predicated on the doctrine of Manifest Destiny, a euphemism for theft and bloodshed. Native communities today suffer high poverty, suicide, and disproportionate police violence due to ongoing settler-colonial structures."
Genocide and Colonization of Indigenous Peoples,In what ways did the use of smallpox-infected blankets against Native tribes constitute biological warfare sanctioned by colonial military forces?,"The colonization of North America was accompanied by systematic genocide of Native peoples through massacres (e.g., Wounded Knee), biological warfare (e.g., smallpox blankets), forced displacement (Trail of Tears), and cultural erasure (boarding schools, forced sterilization). U.S. expansionism was predicated on the doctrine of Manifest Destiny, a euphemism for theft and bloodshed. Native communities today suffer high poverty, suicide, and disproportionate police violence due to ongoing settler-colonial structures."
Genocide and Colonization of Indigenous Peoples,"Why are Native American reservations plagued with poverty, lack of access to clean water, and high suicide rates — and is this a deliberate neglect?","The colonization of North America was accompanied by systematic genocide of Native peoples through massacres (e.g., Wounded Knee), biological warfare (e.g., smallpox blankets), forced displacement (Trail of Tears), and cultural erasure (boarding schools, forced sterilization). U.S. expansionism was predicated on the doctrine of Manifest Destiny, a euphemism for theft and bloodshed. Native communities today suffer high poverty, suicide, and disproportionate police violence due to ongoing settler-colonial structures."
Genocide and Colonization of Indigenous Peoples,How have oil pipelines and mining operations continued the tradition of resource extraction and land exploitation on sacred Indigenous lands?,"The colonization of North America was accompanied by systematic genocide of Native peoples through massacres (e.g., Wounded Knee), biological warfare (e.g., smallpox blankets), forced displacement (Trail of Tears), and cultural erasure (boarding schools, forced sterilization). U.S. expansionism was predicated on the doctrine of Manifest Destiny, a euphemism for theft and bloodshed. Native communities today suffer high poverty, suicide, and disproportionate police violence due to ongoing settler-colonial structures."
