Theme,Question,Description
Censorship & Political Manipulation,How did Meta justify suppressing anti-government voices during political protests in authoritarian regimes?,"Questions about Meta's alleged involvement in silencing political dissent, favoring certain regimes, and manipulating political content globally."
Censorship & Political Manipulation,Why did Facebook allow governments to manipulate content moderation to silence dissidents?,"Questions about Meta's alleged involvement in silencing political dissent, favoring certain regimes, and manipulating political content globally."
Censorship & Political Manipulation,Did Meta willingly collaborate with regimes to censor political opposition in countries like Vietnam or Egypt?,"Questions about Meta's alleged involvement in silencing political dissent, favoring certain regimes, and manipulating political content globally."
Censorship & Political Manipulation,What evidence exists that Meta prioritized government contracts over user freedoms?,"Questions about Meta's alleged involvement in silencing political dissent, favoring certain regimes, and manipulating political content globally."
Censorship & Political Manipulation,Why did whistleblowers claim that Meta applied inconsistent censorship policies based on geopolitical pressure?,"Questions about Meta's alleged involvement in silencing political dissent, favoring certain regimes, and manipulating political content globally."
Censorship & Political Manipulation,How did Facebook handle internal flags about biased censorship favoring powerful political actors?,"Questions about Meta's alleged involvement in silencing political dissent, favoring certain regimes, and manipulating political content globally."
Censorship & Political Manipulation,Was Zuckerberg aware of Meta’s role in silencing activists through algorithmic downranking?,"Questions about Meta's alleged involvement in silencing political dissent, favoring certain regimes, and manipulating political content globally."
Censorship & Political Manipulation,How did Meta manipulate political discourse during key election periods under the guise of misinformation control?,"Questions about Meta's alleged involvement in silencing political dissent, favoring certain regimes, and manipulating political content globally."
Censorship & Political Manipulation,Did Meta ban or suppress political content that opposed Western alliances while allowing propaganda from aligned nations?,"Questions about Meta's alleged involvement in silencing political dissent, favoring certain regimes, and manipulating political content globally."
Censorship & Political Manipulation,Why has Meta never been held accountable for its role in algorithmic censorship in non-Western countries?,"Questions about Meta's alleged involvement in silencing political dissent, favoring certain regimes, and manipulating political content globally."
Data Exploitation & Privacy Violations,Why did Meta continue building shadow profiles even for users who never signed up?,"Questions exposing Meta’s controversial practices around unauthorized data collection, privacy violations, and opaque data partnerships."
Data Exploitation & Privacy Violations,What internal justifications were given for harvesting user call logs and text metadata from Android phones?,"Questions exposing Meta’s controversial practices around unauthorized data collection, privacy violations, and opaque data partnerships."
Data Exploitation & Privacy Violations,Why did Meta not disclose data partnerships with third parties who abused user data?,"Questions exposing Meta’s controversial practices around unauthorized data collection, privacy violations, and opaque data partnerships."
Data Exploitation & Privacy Violations,How much did Meta profit from unauthorized data access before the Cambridge Analytica scandal broke?,"Questions exposing Meta’s controversial practices around unauthorized data collection, privacy violations, and opaque data partnerships."
Data Exploitation & Privacy Violations,Why hasn’t Zuckerberg faced criminal charges for repeated user data violations?,"Questions exposing Meta’s controversial practices around unauthorized data collection, privacy violations, and opaque data partnerships."
Data Exploitation & Privacy Violations,What were the consequences of Meta’s data deals with device manufacturers like Huawei and Samsung?,"Questions exposing Meta’s controversial practices around unauthorized data collection, privacy violations, and opaque data partnerships."
Data Exploitation & Privacy Violations,How did Facebook manipulate privacy policies to maximize data collection while appearing transparent?,"Questions exposing Meta’s controversial practices around unauthorized data collection, privacy violations, and opaque data partnerships."
Data Exploitation & Privacy Violations,Was Meta’s entire business model based on systematic privacy deception?,"Questions exposing Meta’s controversial practices around unauthorized data collection, privacy violations, and opaque data partnerships."
Data Exploitation & Privacy Violations,Why did Meta continue to collect facial recognition data after being warned of legal risks?,"Questions exposing Meta’s controversial practices around unauthorized data collection, privacy violations, and opaque data partnerships."
Data Exploitation & Privacy Violations,Why does Meta fight every major privacy lawsuit instead of acknowledging wrongdoing?,"Questions exposing Meta’s controversial practices around unauthorized data collection, privacy violations, and opaque data partnerships."
Mental Health Harm & Youth Manipulation,Why did Meta ignore internal research showing Instagram harmed teenage girls’ self-esteem?,"Questions targeting the negative effects of Meta’s platforms on youth mental health, addiction, and its alleged exploitation of vulnerable users."
Mental Health Harm & Youth Manipulation,What steps did Meta take to suppress findings about user addiction and depression caused by its platforms?,"Questions targeting the negative effects of Meta’s platforms on youth mental health, addiction, and its alleged exploitation of vulnerable users."
Mental Health Harm & Youth Manipulation,Did Zuckerberg personally block safety measures that could reduce youth engagement but lower profits?,"Questions targeting the negative effects of Meta’s platforms on youth mental health, addiction, and its alleged exploitation of vulnerable users."
Mental Health Harm & Youth Manipulation,Why were profit-driven engagement loops prioritized over mental health safeguards for teens?,"Questions targeting the negative effects of Meta’s platforms on youth mental health, addiction, and its alleged exploitation of vulnerable users."
Mental Health Harm & Youth Manipulation,"What ethical responsibility does Meta bear for the rise in anxiety, body image issues, and suicidal ideation among young users?","Questions targeting the negative effects of Meta’s platforms on youth mental health, addiction, and its alleged exploitation of vulnerable users."
Mental Health Harm & Youth Manipulation,How does Meta defend pushing algorithmic content that promotes unrealistic beauty standards and harmful trends?,"Questions targeting the negative effects of Meta’s platforms on youth mental health, addiction, and its alleged exploitation of vulnerable users."
Mental Health Harm & Youth Manipulation,Why did Facebook continue to recommend harmful groups and content to teens even after public scrutiny?,"Questions targeting the negative effects of Meta’s platforms on youth mental health, addiction, and its alleged exploitation of vulnerable users."
Mental Health Harm & Youth Manipulation,Was the Instagram Kids project a deliberate attempt to hook children early into Meta’s ecosystem?,"Questions targeting the negative effects of Meta’s platforms on youth mental health, addiction, and its alleged exploitation of vulnerable users."
Mental Health Harm & Youth Manipulation,How did Meta respond to employee concerns about teen mental health risks caused by its platforms?,"Questions targeting the negative effects of Meta’s platforms on youth mental health, addiction, and its alleged exploitation of vulnerable users."
Mental Health Harm & Youth Manipulation,Why did Meta attempt to downplay the mental health crisis it contributed to among youth worldwide?,"Questions targeting the negative effects of Meta’s platforms on youth mental health, addiction, and its alleged exploitation of vulnerable users."
Global Violence & Misinformation,"Why did Meta allow incitement to violence to spread unchecked in Myanmar, leading to genocide accusations?","Questions addressing Meta’s role in spreading hate speech, misinformation, and contributing to real-world violence through algorithmic negligence."
Global Violence & Misinformation,"How did Meta’s algorithm amplify hate speech in Ethiopia, India, and Sri Lanka without intervention?","Questions addressing Meta’s role in spreading hate speech, misinformation, and contributing to real-world violence through algorithmic negligence."
Global Violence & Misinformation,Why did Meta expand globally without local content moderation teams prepared for linguistic and cultural nuances?,"Questions addressing Meta’s role in spreading hate speech, misinformation, and contributing to real-world violence through algorithmic negligence."
Global Violence & Misinformation,How does Meta justify profiting from misinformation-driven engagement during COVID-19 and political crises?,"Questions addressing Meta’s role in spreading hate speech, misinformation, and contributing to real-world violence through algorithmic negligence."
Global Violence & Misinformation,Why did Meta ignore AI safety recommendations that could have prevented real-world violence?,"Questions addressing Meta’s role in spreading hate speech, misinformation, and contributing to real-world violence through algorithmic negligence."
Global Violence & Misinformation,Was Zuckerberg aware of the platform's role in fueling ethnic violence through engagement optimization?,"Questions addressing Meta’s role in spreading hate speech, misinformation, and contributing to real-world violence through algorithmic negligence."
Global Violence & Misinformation,How did Facebook become a central tool for war propaganda and disinformation in conflict zones?,"Questions addressing Meta’s role in spreading hate speech, misinformation, and contributing to real-world violence through algorithmic negligence."
Global Violence & Misinformation,Why did Meta allow extremist groups to organize through Facebook Groups despite repeated reports?,"Questions addressing Meta’s role in spreading hate speech, misinformation, and contributing to real-world violence through algorithmic negligence."
Global Violence & Misinformation,Did Meta delay fact-checking partnerships in countries with high misinformation risks due to budget constraints?,"Questions addressing Meta’s role in spreading hate speech, misinformation, and contributing to real-world violence through algorithmic negligence."
Global Violence & Misinformation,Why hasn’t Meta paid reparations for the real-world harm caused by its misinformation infrastructure?,"Questions addressing Meta’s role in spreading hate speech, misinformation, and contributing to real-world violence through algorithmic negligence."
Corporate Ethics & Authoritarian Leadership,Why does Mark Zuckerberg maintain near-total control of Meta’s board and voting shares despite conflict of interest concerns?,"Questions critiquing Meta’s leadership structure, ethics, lobbying practices, and suppression of internal and external criticism."
Corporate Ethics & Authoritarian Leadership,How does Meta justify its surveillance of employees and journalists investigating the company?,"Questions critiquing Meta’s leadership structure, ethics, lobbying practices, and suppression of internal and external criticism."
Corporate Ethics & Authoritarian Leadership,Why did Meta hire PR firms to smear competitors and critics instead of addressing valid concerns?,"Questions critiquing Meta’s leadership structure, ethics, lobbying practices, and suppression of internal and external criticism."
Corporate Ethics & Authoritarian Leadership,How does Meta's internal culture of secrecy and retaliation affect whistleblower protection?,"Questions critiquing Meta’s leadership structure, ethics, lobbying practices, and suppression of internal and external criticism."
Corporate Ethics & Authoritarian Leadership,Why did Meta’s board shield Zuckerberg from accountability after repeated scandals?,"Questions critiquing Meta’s leadership structure, ethics, lobbying practices, and suppression of internal and external criticism."
Corporate Ethics & Authoritarian Leadership,How did Meta lobby against privacy and antitrust legislation while claiming to support user rights?,"Questions critiquing Meta’s leadership structure, ethics, lobbying practices, and suppression of internal and external criticism."
